Date,Region,Province,City,Product,Category,Sales,Quantity,CustomerID,Profit
2025-11-28,East,Rayong,Ban Chang,Printer,Electronics,8565,7,CUST0006,1169.5
2025-02-28,South,Phuket,Patong,Laptop,Electronics,35697,8,CUST0011,6693.46
2025-03-06,South,Phuket,Phuket City,Printer,Electronics,5345,5,CUST0025,189.5
2025-10-03,North,Chiang Rai,Mueang Chiang Rai,Printer,Electronics,9267,10,CUST0091,1230.7
2025-10-20,South,Surat Thani,Mueang Surat Thani,Printer,Electronics,11660,6,CUST0069,741
2025-07-01,Central,Saraburi,Muak Lek,Tablet,Electronics,13092,7,CUST0017,1276.04
2025-01-12,Northeast,Khon Kaen,Mueang Khon Kaen,Printer,Electronics,6106,6,CUST0041,434.6
2025-09-08,Northeast,Nakhon Ratchasima,Pak Chong,Smartphone,Electronics,25215,2,CUST0093,3687.25
2025-05-04,South,Surat Thani,Koh Samui,Printer,Electronics,10148,1,CUST0058,979.8
2025-09-05,South,Surat Thani,Koh Samui,Laptop,Electronics,29555,4,CUST0028,5623.9
2025-03-14,Northeast,Khon Kaen,Chum Phae,Smartphone,Electronics,29690,6,CUST0072,4665.5
2025-08-26,North,Chiang Rai,Mueang Chiang Rai,Smartphone,Electronics,20855,10,CUST0068,2935.25
2025-05-21,North,Chiang Rai,Mueang Chiang Rai,Laptop,Electronics,26467,1,CUST0037,4265.06
2025-11-26,North,Chiang Rai,Mueang Chiang Rai,Smartphone,Electronics,23111,6,CUST0010,3093.65
2025-06-06,South,Phuket,Phuket City,Printer,Electronics,6863,5,CUST0010,425.3
2025-07-26,Central,Saraburi,Muak Lek,Laptop,Electronics,38640,7,CUST0009,7150.2
2025-07-09,Central,Bangkok,Bangkok,Laptop,Electronics,43090,1,CUST0066,7472.2
2025-10-09,North,Chiang Rai,Mueang Chiang Rai,Printer,Electronics,5177,10,CUST0033,912.7
2025-09-24,East,Rayong,Ban Chang,Tablet,Electronics,9418,4,CUST0079,1529.16
2025-11-29,South,Surat Thani,Koh Samui,Tablet,Electronics,8371,9,CUST0075,1308.52
2025-02-08,South,Phuket,Phuket City,Laptop,Electronics,43932,10,CUST0063,7575.76
2025-08-21,East,Chonburi,Si Racha,Printer,Electronics,11049,4,CUST0035,791.9
2025-03-16,Central,Bangkok,Bangkok,Printer,Electronics,8956,9,CUST0059,633.6
2025-09-06,South,Phuket,Phuket City,Tablet,Electronics,16217,2,CUST0083,2125.04
2025-02-21,Northeast,Khon Kaen,Chum Phae,Laptop,Electronics,27171,10,CUST0020,5042.78
2025-01-22,Northeast,Nakhon Ratchasima,Pak Chong,Printer,Electronics,7673,8,CUST0036,403.3
2025-11-26,North,Chiang Rai,Mueang Chiang Rai,Laptop,Electronics,32475,1,CUST0019,5735.5
2025-01-26,North,Chiang Rai,Mae Sai,Laptop,Electronics,27833,1,CUST0022,4963.94
2025-11-27,South,Phuket,Phuket City,Laptop,Electronics,30786,4,CUST0075,5231.48
2025-12-26,East,Chonburi,Si Racha,Laptop,Electronics,33147,10,CUST0098,5966.46
2025-11-16,North,Chiang Rai,Mueang Chiang Rai,Tablet,Electronics,10485,8,CUST0047,1651.2
2025-07-19,North,Chiang Rai,Mueang Chiang Rai,Laptop,Electronics,25902,6,CUST0006,4960.36
2025-10-24,East,Chonburi,Si Racha,Smartphone,Electronics,20104,2,CUST0065,2940.6
2025-10-10,East,Rayong,Ban Chang,Printer,Electronics,8887,4,CUST0006,1269.7
2025-05-19,East,Chonburi,Si Racha,Printer,Electronics,8259,5,CUST0067,706.9
2025-06-12,East,Chonburi,Si Racha,Laptop,Electronics,39359,2,CUST0021,7278.62
2025-02-23,Central,Bangkok,Bangkok,Laptop,Electronics,29417,10,CUST0056,4917.06
2025-07-02,South,Phuket,Phuket City,Tablet,Electronics,17404,2,CUST0041,2340.48
2025-04-15,Northeast,Khon Kaen,Chum Phae,Smartphone,Electronics,14112,3,CUST0071,2124.8
2025-05-10,South,Phuket,Phuket City,Smartphone,Electronics,28328,8,CUST0048,4575.2
2025-01-07,East,Chonburi,Pattaya,Printer,Electronics,6394,5,CUST0007,568.4
2025-12-23,East,Rayong,Mueang Rayong,Printer,Electronics,6490,2,CUST0087,663
2025-11-19,East,Chonburi,Si Racha,Laptop,Electronics,34614,2,CUST0045,6163.52
2025-03-16,East,Chonburi,Pattaya,Laptop,Electronics,44188,5,CUST0031,7802.84
2025-05-18,East,Rayong,Ban Chang,Printer,Electronics,5861,10,CUST0038,661.1
2025-11-08,East,Rayong,Ban Chang,Tablet,Electronics,8482,8,CUST0089,608.84
2025-07-23,Central,Bangkok,Bangkok,Tablet,Electronics,10510,1,CUST0033,1030.2
2025-01-25,Northeast,Nakhon Ratchasima,Pak Chong,Laptop,Electronics,43674,4,CUST0008,8149.32
2025-02-03,Central,Saraburi,Muak Lek,Laptop,Electronics,26301,6,CUST0077,4798.18
2025-10-03,East,Chonburi,Pattaya,Laptop,Electronics,41407,8,CUST0084,7447.26
2025-09-23,Northeast,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Printer,Electronics,11774,8,CUST0011,908.4
2025-11-06,East,Chonburi,Si Racha,Printer,Electronics,7798,9,CUST0022,522.8
2025-02-09,East,Chonburi,Si Racha,Laptop,Electronics,31079,8,CUST0027,5443.22
2025-04-01,South,Surat Thani,Koh Samui,Smartphone,Electronics,16212,7,CUST0089,2414.8
2025-07-10,South,Surat Thani,Koh Samui,Tablet,Electronics,16249,4,CUST0013,2063.88
2025-03-23,North,Chiang Mai,Doi Saket,Printer,Electronics,5164,2,CUST0075,341.4
2025-12-27,North,Chiang Mai,Mueang Chiang Mai,Smartphone,Electronics,15819,3,CUST0039,2850.85
2025-08-13,South,Surat Thani,Koh Samui,Smartphone,Electronics,17696,8,CUST0013,2896.4
2025-12-02,South,Surat Thani,Koh Samui,Smartphone,Electronics,22640,3,CUST0073,3236
2025-03-26,South,Phuket,Phuket City,Laptop,Electronics,29783,4,CUST0097,5075.94
2025-03-05,Northeast,Khon Kaen,Mueang Khon Kaen,Laptop,Electronics,31161,7,CUST0086,5949.98
2025-12-20,North,Chiang Rai,Mae Sai,Printer,Electronics,5112,5,CUST0006,332.2
2025-04-14,East,Rayong,Ban Chang,Smartphone,Electronics,14088,4,CUST0100,1743.2
2025-04-23,South,Phuket,Phuket City,Smartphone,Electronics,29820,4,CUST0033,4030
2025-10-25,Northeast,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Laptop,Electronics,37877,4,CUST0058,6934.86
2025-03-17,North,Chiang Rai,Mueang Chiang Rai,Smartphone,Electronics,26598,9,CUST0051,4291.7
2025-08-28,North,Chiang Mai,Mueang Chiang Mai,Tablet,Electronics,16267,10,CUST0090,1525.04
2025-10-25,Central,Saraburi,Muak Lek,Smartphone,Electronics,25126,1,CUST0061,3567.9
2025-12-03,South,Phuket,Phuket City,Laptop,Electronics,31509,5,CUST0070,5317.62
2025-10-02,North,Chiang Mai,Doi Saket,Tablet,Electronics,17259,5,CUST0066,1972.08
2025-12-22,Northeast,Khon Kaen,Mueang Khon Kaen,Laptop,Electronics,36285,7,CUST0074,6576.3
2025-05-09,North,Chiang Mai,Doi Saket,Printer,Electronics,9016,5,CUST0078,735.6
2025-08-08,East,Rayong,Ban Chang,Tablet,Electronics,9508,6,CUST0025,1349.96
2025-04-16,North,Chiang Mai,Doi Saket,Tablet,Electronics,14711,6,CUST0050,1781.32
2025-05-01,North,Chiang Mai,Doi Saket,Laptop,Electronics,29648,5,CUST0069,5088.64
2025-04-13,East,Chonburi,Pattaya,Tablet,Electronics,8300,3,CUST0068,1416
2025-03-04,North,Chiang Rai,Mae Sai,Smartphone,Electronics,19512,7,CUST0040,2706.8
2025-12-14,South,Surat Thani,Mueang Surat Thani,Tablet,Electronics,11722,10,CUST0090,915.64
2025-01-23,Central,Bangkok,Bangkok,Tablet,Electronics,11789,10,CUST0012,948.68
2025-06-24,South,Surat Thani,Koh Samui,Tablet,Electronics,12170,9,CUST0094,1435.4
2025-11-12,Northeast,Khon Kaen,Chum Phae,Tablet,Electronics,13687,8,CUST0079,1336.44
2025-04-12,East,Chonburi,Si Racha,Printer,Electronics,7384,2,CUST0059,1224.4
2025-07-06,North,Chiang Rai,Mueang Chiang Rai,Laptop,Electronics,37784,8,CUST0043,6640.12
2025-11-24,Central,Bangkok,Bangkok,Printer,Electronics,6415,6,CUST0070,770.5
2025-10-20,South,Phuket,Patong,Printer,Electronics,7802,8,CUST0051,772.2
2025-02-27,Central,Bangkok,Bangkok,Laptop,Electronics,37628,1,CUST0065,7163.04
2025-09-09,South,Surat Thani,Mueang Surat Thani,Tablet,Electronics,14533,5,CUST0041,1647.96
2025-10-16,North,Chiang Mai,Doi Saket,Printer,Electronics,7692,4,CUST0068,1071.2
2025-11-18,North,Chiang Mai,Doi Saket,Laptop,Electronics,38847,4,CUST0037,6815.46
2025-11-30,Northeast,Nakhon Ratchasima,Pak Chong,Tablet,Electronics,10905,2,CUST0022,1289.6
2025-09-11,East,Rayong,Ban Chang,Tablet,Electronics,11756,1,CUST0062,1906.72
2025-01-23,Northeast,Khon Kaen,Mueang Khon Kaen,Printer,Electronics,10828,3,CUST0047,883.8
2025-05-28,Central,Bangkok,Bangkok,Laptop,Electronics,39976,9,CUST0027,7425.68
2025-10-16,North,Chiang Rai,Mae Sai,Tablet,Electronics,14781,4,CUST0034,1990.72
2025-11-28,Central,Bangkok,Bangkok,Smartphone,Electronics,27543,1,CUST0020,3954.45
2025-10-13,Central,Saraburi,Kaeng Khoi,Smartphone,Electronics,20295,9,CUST0013,2976.25
2025-04-16,North,Chiang Rai,Mueang Chiang Rai,Smartphone,Electronics,27550,5,CUST0043,3752.5
2025-03-30,Northeast,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Smartphone,Electronics,22240,1,CUST0015,3527
2025-08-11,North,Chiang Rai,Mueang Chiang Rai,Tablet,Electronics,14365,3,CUST0016,1490.8
2025-01-29,Central,Saraburi,Kaeng Khoi,Smartphone,Electronics,17727,1,CUST0028,3095.05
2025-05-18,Northeast,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Printer,Electronics,10913,5,CUST0063,722.3
2025-12-27,Central,Saraburi,Kaeng Khoi,Printer,Electronics,11644,6,CUST0048,1314.4
2025-11-06,South,Surat Thani,Mueang Surat Thani,Smartphone,Electronics,28639,2,CUST0051,4595.85
2025-08-12,East,Rayong,Mueang Rayong,Tablet,Electronics,14609,4,CUST0009,1907.08
2025-12-30,North,Chiang Mai,Doi Saket,Printer,Electronics,7029,1,CUST0004,600.9
2025-03-07,South,Phuket,Phuket City,Tablet,Electronics,17788,1,CUST0079,1670.56
