Date,Region,Province,City,Product,Category,Sales,Quantity,CustomerID,Profit
2025-01-02,North,Chiang Rai,Mae Sai,Tablet,Electronics,15283,9,CUST0024,1916.96
2025-01-02,South,Surat Thani,Koh Samui,Printer,Electronics,52839,9,CUST0077,6067.01
2025-01-02,Northeast,Nakhon Ratchasima,Pak Chong,Printer,Electronics,8265,9,CUST0094,834.5
2025-01-04,North,Chiang Rai,Mae Sai,Smartphone,Electronics,29691,8,CUST0086,4761.65
2025-01-04,Central,Saraburi,Muak Lek,Lamp,Furniture,1290,2,CUST0008,198.79
2025-01-04,Central,Saraburi,Muak Lek,Smartphone,Electronics,117312,6,CUST0087,15171.82
2025-01-05,East,Rayong,Mueang Rayong,Laptop,Electronics,67616,2,CUST0068,10863.03
2025-01-07,East,Chonburi,Pattaya,Paper,Office Supplies,1484,7,CUST0118,168.52
2025-01-07,East,Chonburi,Pattaya,Printer,Electronics,6394,5,CUST0007,568.4
2025-01-08,South,Surat Thani,Mueang Surat Thani,Binder,Office Supplies,240,2,CUST0068,26.7
2025-01-12,South,Phuket,Phuket City,Smartphone,Electronics,18205,8,CUST0089,2546.75
2025-01-12,Northeast,Khon Kaen,Mueang Khon Kaen,Printer,Electronics,6106,6,CUST0041,434.6
2025-01-12,North,Chiang Rai,Mae Sai,Paper,Office Supplies,1320,10,CUST0128,186.2
2025-01-14,South,Surat Thani,Koh Samui,Desk,Furniture,32655,5,CUST0090,7830.67
2025-01-15,North,Chiang Mai,Mueang Chiang Mai,Tablet,Electronics,15798,6,CUST0072,2162.76
2025-01-15,Northeast,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Binder,Office Supplies,696,8,CUST0067,65.56
2025-01-15,North,Chiang Rai,Mae Sai,Stapler,Office Supplies,1095,3,CUST0033,160.68
2025-01-19,East,Rayong,Mueang Rayong,Bookshelf,Furniture,28240,5,CUST0104,4399.68
2025-01-19,Central,Saraburi,Muak Lek,Smartphone,Electronics,29279,7,CUST0022,4811.85
2025-01-20,South,Phuket,Patong,Pen,Office Supplies,142,2,CUST0024,39.71
2025-01-20,North,Chiang Mai,Mueang Chiang Mai,Smartphone,Electronics,29067,7,CUST0089,4470.05
2025-01-21,East,Chonburi,Si Racha,Desk,Furniture,13794,2,CUST0105,3054.2
2025-01-21,Central,Saraburi,Muak Lek,Laptop,Electronics,25624,5,CUST0030,4600.32
2025-01-21,South,Phuket,Patong,Laptop,Electronics,28262,7,CUST0037,5066.16
